thresh,seas,missing
15.929225644757668,13.961998637183836,False
15.875419192160328,13.907413329923227,False
15.817419212095198,13.850947430334786,False
15.75638697224278,13.792309939318987,False
15.691806307146623,13.731321144376501,False
15.62593533915858,13.668131431965676,False
15.558064386921542,13.60298743715178,False
15.486774093874036,13.53649371673724,False
15.413999889742941,13.468286333787585,False
15.341935385427167,13.398382583016947,False
15.267870853793234,13.327416346193088,False
15.194774098550116,13.255984660440555,False
15.115096695192399,13.184403339250887,False
15.036838623785204,13.112582150648679,False
14.954709612938668,13.040054893680102,False
14.877612833822928,12.967336644480236,False
14.801548299481794,12.894389055000948,False
14.721548314248365,12.821014366290456,False
14.642257991913828,12.746858415876854,False
14.562838634367914,12.672443047045983,False
14.487032201213225,12.597802096770685,False
14.409999958161386,12.522662612619023,False
14.330967712402344,12.446847138238837,False
14.248258043104602,12.370175960772254,False
14.161354827880862,12.29270773054433,False
14.0720000051683,12.214847741606398,False
13.981935488793157,12.136573435570192,False
13.890903220638153,12.058521702447523,False
13.79922579488447,11.980830146348676,False
13.707161294260334,11.903506287166666,False
13.615483874659391,11.826397481399583,False
13.524580660173976,11.74968645022107,False
13.432774217667127,11.673591254573001,False
13.344322586059578,11.598265289480466,False
13.256258053933427,11.523758182508425,False
13.16980646194951,11.450038352759497,False
13.083483868260544,11.377335892645828,False
12.998709672497167,11.30571922864024,False
12.917096777885195,11.234772540311257,False
12.834838713369066,11.16465824533651,False
12.753161294998666,11.094944732262144,False
12.673032256095642,11.0255327459941,False
12.5912258086666,10.95631175159879,False
12.515032269877771,10.887064439478255,False
12.4376129211918,10.817842693093649,False
12.362451639483046,10.749081131963589,False
12.28729035162156,10.680850438062695,False
12.213354867504483,10.612643054395937,False
12.140516151920439,10.544608616006046,False
12.06561293448171,10.476717797174734,False
11.989677441504691,10.408981877598103,False
11.912322585813458,10.341656515316657,False
11.834516113035136,10.274813144330164,False
11.758387091852,10.208433717755915,False
11.685612900026381,10.14284307227582,False
11.616322560464182,10.078293106736828,False
11.549612888213128,10.014533426234737,False
11.483419332196638,9.951351984738139,False
11.419354820251469,9.888585611934706,False
11.355096761641967,9.825660580611336,False
11.286645144800985,9.762431014918844,False
11.215225779625673,9.69874276812968,False
11.140645119451706,9.634669529852971,False
11.067935451384512,9.570048129955659,False
10.995741911857358,9.504971808621343,False
10.924387088898689,9.43913152022634,False
10.851612884767595,9.372376125462477,False
10.778903210547666,9.304679306604527,False
10.706322565386378,9.235991435728982,False
10.634128995095532,9.16647568314817,False
10.563354805977117,9.096383947601478,False
10.491548347473145,9.025841050385011,False
10.419741882816439,8.954846990996803,False
10.349677362749652,8.883490498222455,False
10.280516064551568,8.811973843057135,False
10.21277412291496,8.74024138227245,False
10.145677351182508,8.668257022784232,False
10.077548328522713,8.595908726074702,False
10.009741893891366,8.523325073099626,False
9.94393544350901,8.45073540442527,False
9.8797419025052,8.378246495110423,False
9.815870949529836,8.30560193464123,False
9.753290317904566,8.232862630350464,False
9.69058065106792,8.1599055825759,False
9.629096757211993,8.086681390403617,False
9.5676451529226,8.01288314804964,False
9.505322585567352,7.938163272269826,False
9.441129029181695,7.8625145495861215,False
9.372645159690606,7.785621357920848,False
9.304000002338036,7.708059030341627,False
9.23448388191961,7.629874384090022,False
9.165838712261566,7.550991313836796,False
9.09651614158384,7.471963774664878,False
9.03161292229929,7.392817974071709,False
8.966903237373595,7.313567654477295,False
8.899483889918173,7.234259436170637,False
8.832258076821603,7.1551670235909075,False
8.766000009352162,7.076738570414816,False
8.701096790067611,6.999104913799098,False
8.635935497283937,6.922451030347473,False
8.566451632591988,6.846973174871768,False
8.498193565491707,6.7726863862078535,False
8.430967764700613,6.699657586832023,False
